小区名称,所在市,具体位置,房屋总价,户型,占地,单价,朝向,楼层,装修,网址
 绿地新都会国际花都, 房山 , 长阳 ,262万, 2室1厅1卫 ,96.86平米, 27049元/平米 ,南北,高层,精装修,https://esf.fang.com/chushou/3_483530611.html
 绿地新都会国际花都, 房山 , 长阳 ,310万, 3室2厅2卫 ,115.28平米, 26891元/平米 ,南北,高层,精装修,https://esf.fang.com/chushou/3_483530609.html
 长阳半岛, 房山 , 长阳 ,269万, 2室2厅1卫 ,87.65平米, 30690元/平米 ,南北,低层,精装修,https://esf.fang.com/chushou/3_483530600.html
 碧桂园小区C区, 房山 , 长阳 ,290万, 3室2厅2卫 ,123.53平米, 23476元/平米 ,南北,中层,简装修,https://esf.fang.com/chushou/3_483530584.html
 保利锦上, 朝阳 , 垡头 ,795万, 3室2厅2卫 ,114.6平米, 69372元/平米 ,南北,高层,简装修,https://esf.fang.com/chushou/3_483530561.html
 保利锦上, 朝阳 , 垡头 ,650万, 3室2厅2卫 ,98平米, 66327元/平米 ,南北,高层,简装修,https://esf.fang.com/chushou/3_483530560.html
 红联北村, 海淀 , 小西天 ,320万, 1室1厅1卫 ,42.1平米, 76010元/平米 ,东,中层,精装修,https://esf.fang.com/chushou/3_483432779.html
 海晟名苑, 东城 , 东直门 ,3000万, 3室2厅1卫 ,239.2平米, 125418元/平米 ,南北,低层,中装修,https://esf.fang.com/chushou/3_483530096.html
 高家园, 朝阳 , 大山子 ,239万, 2室1厅1卫 ,42.13平米, 56729元/平米 ,南, 底层 ,简装修,https://esf.fang.com/chushou/3_483529864.html
 高家园, 朝阳 , 大山子 ,279万, 2室1厅1卫 ,55.55平米, 50225元/平米 ,南,低层,简装修,https://esf.fang.com/chushou/3_483529860.html
 北京太阳城, 昌平 , 北七家 ,238万, 2室2厅2卫 ,109平米, 21835元/平米 ,南北,顶层,简装修,https://esf.fang.com/chushou/3_483529739.html
 望都新地, 昌平 , 北七家 ,310万, 2室1厅1卫 ,88.94平米, 34855元/平米 ,南北,中层,精装修,https://esf.fang.com/chushou/3_483529731.html
 御汤山熙园, 昌平 , 小汤山 ,2080万, 4室2厅4卫 ,343平米, 60641元/平米 ,南, 底层 ,毛坯,https://esf.fang.com/chushou/10_483529719.html
 纳帕溪谷, 昌平 , 小汤山 ,1580万, 4室4厅5卫 ,372平米, 42473元/平米 ,南, 底层 ,精装修,https://esf.fang.com/chushou/10_483529663.html
 纳帕溪谷, 昌平 , 小汤山 ,1290万, 5室3厅3卫 ,307平米, 42020元/平米 ,南, 底层 ,精装修,https://esf.fang.com/chushou/10_483529583.html
 威尼斯花园, 昌平 , 北七家 ,1100万, 4室2厅4卫 ,345.66平米, 31823元/平米 ,南, 底层 ,精装修,https://esf.fang.com/chushou/10_483529518.html
 康宁居, 丰台 , 马连道 ,680万, 2室1厅1卫 ,84.91平米, 80085元/平米 ,东南,低层,精装修,https://esf.fang.com/chushou/3_483529456.html
 金隅景和园, 朝阳 , 东坝 ,378万, 2室1厅1卫 ,89.85平米, 42070元/平米 ,东,低层,精装修,https://esf.fang.com/chushou/3_483529419.html
 金隅景和园, 朝阳 , 东坝 ,368万, 2室1厅1卫 ,81.05平米, 45404元/平米 ,南北,高层,精装修,https://esf.fang.com/chushou/3_483529398.html
 V7北湖壹号别墅, 房山 , 青龙湖 ,738万, 6室3厅5卫 ,310平米, 23806元/平米 ,南, 底层 ,豪华装修,https://esf.fang.com/chushou/10_483529193.html
 北京壹号庄园, 昌平 , 北七家 ,7000万, 6室4厅6卫 ,935平米, 74866元/平米 ,南, 底层 ,毛坯,https://esf.fang.com/chushou/10_483529149.html
 朝阳新城, 朝阳 , 东坝 ,487万, 2室2厅1卫 ,112.9平米, 43136元/平米 ,南北,中层,简装修,https://esf.fang.com/chushou/3_483529303.html
 中海尚湖世家, 昌平 , 沙河 ,2480万, 5室3厅4卫 ,559.89平米, 44294元/平米 ,南, 底层 ,豪华装修,https://esf.fang.com/chushou/10_483529105.html
 中海瓦尔登湖别墅, 昌平 , 沙河 ,1980万, 5室2厅4卫 ,421平米, 47031元/平米 ,北, 底层 ,毛坯,https://esf.fang.com/chushou/10_483529125.html
 温哥华森林, 昌平 , 北七家 ,1980万, 9室4厅6卫 ,489.03平米, 40488元/平米 ,南, 底层 ,豪华装修,https://esf.fang.com/chushou/10_483529093.html
 中海尚湖世家, 昌平 , 沙河 ,2350万, 5室3厅6卫 ,563.42平米, 41710元/平米 ,南, 底层 ,豪华装修,https://esf.fang.com/chushou/10_483529111.html
 温哥华森林, 昌平 , 北七家 ,1030万, 6室3厅3卫 ,229.63平米, 44855元/平米 ,南, 底层 ,精装修,https://esf.fang.com/chushou/10_483529067.html
 温哥华森林, 昌平 , 北七家 ,1950万, 5室5厅5卫 ,399.11平米, 48859元/平米 ,南, 底层 ,精装修,https://esf.fang.com/chushou/10_483529060.html
 四季香山, 海淀 , 四季青 ,1650万, 4室2厅2卫 ,147.89平米, 111569元/平米 ,南北, 底层 ,精装修,https://esf.fang.com/chushou/3_483528981.html
 北辰红橡墅, 昌平 , 北七家 ,1850万, 6室6厅7卫 ,515.57平米, 35883元/平米 ,南, 底层 ,毛坯,https://esf.fang.com/chushou/10_483529033.html
 北辰红橡墅, 昌平 , 北七家 ,1280万, 4室2厅4卫 ,370.2平米, 34576元/平米 ,南, 底层 ,精装修,https://esf.fang.com/chushou/10_483529028.html
 四季香山, 海淀 , 四季青 ,1580万, 3室2厅2卫 ,142.5平米, 110877元/平米 ,南北,中层,精装修,https://esf.fang.com/chushou/3_483528877.html
 纳帕溪谷, 昌平 , 小汤山 ,1298万, 4室2厅3卫 ,363平米, 35758元/平米 ,东, 底层 ,精装修,https://esf.fang.com/chushou/10_483529146.html
 顺成嘉苑, 房山 , 燕山 ,158万, 3室1厅1卫 ,94.13平米, 16785元/平米 ,南北,中层,精装修,https://esf.fang.com/chushou/3_483529063.html
 保利锦上, 朝阳 , 垡头 ,1080万, 4室2厅2卫 ,155平米, 69677元/平米 ,南北,中层,精装修,https://esf.fang.com/chushou/3_483528991.html
 保利锦上, 朝阳 , 垡头 ,977万, 4室2厅2卫 ,155平米, 63032元/平米 ,南北,低层,简装修,https://esf.fang.com/chushou/3_483528986.html
 亿城西山公馆, 海淀 , 上地 ,1288万, 3室2厅2卫 ,150平米, 85867元/平米 ,南北,低层,精装修,https://esf.fang.com/chushou/3_481622917.html
 和悦春风, 大兴 , 庞各庄 ,175万, 2室2厅1卫 ,76.72平米, 22810元/平米 ,东西, 底层 ,精装修,https://esf.fang.com/chushou/3_482785060.html
 观山园, 海淀 , 世纪城 ,2800万, 4室2厅2卫 ,210平米, 133333元/平米 ,南北,高层,豪华装修,https://esf.fang.com/chushou/3_482909910.html
 世纪城时雨园, 海淀 , 世纪城 ,1550万, 3室2厅2卫 ,166平米, 93373元/平米 ,东南,低层,简装修,https://esf.fang.com/chushou/3_483528593.html
 世纪城时雨园, 海淀 , 世纪城 ,1350万, 3室2厅2卫 ,130平米, 103846元/平米 ,西南,顶层,简装修,https://esf.fang.com/chushou/3_483528585.html
 滨湖小区, 怀柔 , 怀柔城区 ,128万, 2室1厅1卫 ,58.42平米, 21910元/平米 ,南,中层,简装修,https://esf.fang.com/chushou/3_483234443.html
 滨湖小区, 怀柔 , 怀柔城区 ,128万, 2室1厅1卫 ,58.42平米, 21910元/平米 ,南,中层,简装修,https://esf.fang.com/chushou/3_483519641.html
 珠江壹千栋, 昌平 , 北七家 ,2400万, 6室4厅5卫 ,459.37平米, 52245元/平米 ,南, 底层 ,精装修,https://esf.fang.com/chushou/10_483519481.html
 金科帕提欧, 昌平 , 小汤山 ,780万, 4室6厅5卫 ,339.65平米, 22965元/平米 ,南, 底层 ,毛坯,https://esf.fang.com/chushou/10_483519505.html
 金隅上城郡, 昌平 , 北七家 ,1260万, 6室2厅4卫 ,271平米, 46494元/平米 ,南, 底层 ,精装修,https://esf.fang.com/chushou/10_483081848.html
 华润公元九里, 大兴 , 高米店 ,1865万, 7室4厅4卫 ,428.21平米, 43553元/平米 ,南北, 底层 ,精装修,https://esf.fang.com/chushou/3_483067880.html
 华润公元九里, 大兴 , 高米店 ,1865万, 7室4厅4卫 ,428.21平米, 43553元/平米 ,南北, 底层 ,精装修,https://esf.fang.com/chushou/3_481841958.html
 远洋傲北别墅, 昌平 , 北七家 ,1190万, 6室4厅4卫 ,390平米, 30513元/平米 ,暂无, 底层 ,精装修,https://esf.fang.com/chushou/10_483369630.html
 天通苑本五区, 昌平 , 天通苑 ,268万, 2室2厅1卫 ,78.66平米, 34071元/平米 ,南北,高层,简装修,https://esf.fang.com/chushou/3_483305989.html
 苹果派, 朝阳 , 常营 ,628万, 3室2厅3卫 ,142.28平米, 44138元/平米 ,南北,高层,精装修,https://esf.fang.com/chushou/3_480957434.html
 保利·天汇, 朝阳 , 中央别墅区 ,920万, 3室2厅2卫 ,119平米, 77311元/平米 ,南北, 底层 ,精装修,https://esf.fang.com/chushou/3_483528153.html
 华瀚国际, 朝阳 , 欢乐谷 ,978万, 4室2厅2卫 ,155平米, 63097元/平米 ,南北, 底层 ,简装修,https://esf.fang.com/chushou/3_483528132.html
 碧水庄园, 昌平 , 沙河 ,1950万, 11室1厅4卫 ,372.52平米, 52346元/平米 ,南, 底层 ,精装修,https://esf.fang.com/chushou/10_482701637.html
 玺悦朝阳, 朝阳 , 常营 ,999万, 4室2厅2卫 ,134平米, 74552元/平米 ,南,低层,简装修,https://esf.fang.com/chushou/3_483528118.html
 和光煦境, 朝阳 , 常营 ,680万, 3室2厅2卫 ,89平米, 76404元/平米 ,南,低层,简装修,https://esf.fang.com/chushou/3_483528098.html
 和光煦境, 朝阳 , 常营 ,803万, 3室2厅2卫 ,99平米, 81111元/平米 ,南,中层,精装修,https://esf.fang.com/chushou/3_483528076.html
 和光煦境, 朝阳 , 常营 ,960万, 4室2厅2卫 ,126平米, 76190元/平米 ,南北,中层,简装修,https://esf.fang.com/chushou/3_483527962.html
 龙兴园北区, 昌平 , 龙泽 ,370万, 3室2厅1卫 ,100.29平米, 36893元/平米 ,南北,低层,精装修,https://esf.fang.com/chushou/3_483267495.html
 珠江帝景C区, 朝阳 , 双井 ,1035万, 2室2厅2卫 ,117.34平米, 88205元/平米 ,西北,高层,精装修,https://esf.fang.com/chushou/3_483527328.html
 小关北里, 朝阳 , 惠新西街 ,575万, 3室2厅1卫 ,92.6平米, 62095元/平米 ,南北, 底层 ,简装修,https://esf.fang.com/chushou/3_483527271.html
 逸翠园, 朝阳 , 朝青 ,1289万, 3室2厅2卫 ,155平米, 83161元/平米 ,南北,高层,精装修,https://esf.fang.com/chushou/3_482837662.html
 V7北湖壹号别墅, 房山 , 青龙湖 ,690万, 4室2厅4卫 ,297平米, 23232元/平米 ,南, 底层 ,精装修,https://esf.fang.com/chushou/10_483527150.html
 V7北湖壹号别墅, 房山 , 青龙湖 ,700万, 7室3厅5卫 ,335平米, 20896元/平米 ,南, 底层 ,精装修,https://esf.fang.com/chushou/10_483527148.html
 V7北湖壹号别墅, 房山 , 青龙湖 ,690万, 6室3厅5卫 ,297平米, 23232元/平米 ,南, 底层 ,精装修,https://esf.fang.com/chushou/10_483527147.html
 V7北湖壹号别墅, 房山 , 青龙湖 ,760万, 6室3厅5卫 ,335平米, 22687元/平米 ,南, 底层 ,精装修,https://esf.fang.com/chushou/10_483527146.html
 V7北湖壹号别墅, 房山 , 青龙湖 ,690万, 4室2厅4卫 ,297平米, 23232元/平米 ,南, 底层 ,精装修,https://esf.fang.com/chushou/10_483527142.html
 天恒水岸壹号, 房山 , 良乡 ,599万, 5室2厅3卫 ,200平米, 29950元/平米 ,南北, 底层 ,豪华装修,https://esf.fang.com/chushou/3_483527131.html
 长阳半岛, 房山 , 长阳 ,325万, 2室2厅1卫 ,96.01平米, 33851元/平米 ,南北,高层,精装修,https://esf.fang.com/chushou/3_483416487.html
 万泉新新家园, 海淀 , 万柳 ,2880万, 4室2厅2卫 ,240平米, 120000元/平米 ,南北, 底层 ,毛坯,https://esf.fang.com/chushou/3_483527024.html
 北京洋房, 昌平 , 北七家 ,728万, 4室2厅3卫 ,188.65平米, 38590元/平米 ,南, 底层 ,简装修,https://esf.fang.com/chushou/10_483526987.html
 西山枫林四期, 石景山 , 八大处 ,530万, 3室2厅1卫 ,103.7平米, 51109元/平米 ,北,中层,精装修,https://esf.fang.com/chushou/3_483526984.html
 天泰新景家园, 房山 , 长阳 ,165万, 2室1厅1卫 ,91.56平米, 18021元/平米 ,南北,顶层,精装修,https://esf.fang.com/chushou/3_483526962.html
 硅谷先锋, 海淀 , 西三旗 ,268万, 1室1厅1卫 ,45.62平米, 58746元/平米 ,南,低层,精装修,https://esf.fang.com/chushou/3_482775403.html
 北辰红橡墅, 昌平 , 北七家 ,1189万, 3室4厅4卫 ,370.76平米, 32069元/平米 ,南, 底层 ,简装修,https://esf.fang.com/chushou/10_483526847.html
 北礼士路70号院, 西城 , 阜成门 ,590万, 2室1厅1卫 ,51.8平米, 113900元/平米 ,西南,中层,精装修,https://esf.fang.com/chushou/3_483526815.html
 北京建工·揽星樾, 房山 , 房山城关 ,179万, 3室2厅2卫 ,99平米, 18081元/平米 ,南北, 底层 ,简装修,https://esf.fang.com/chushou/3_483526674.html
 V7北湖壹号别墅, 房山 , 青龙湖 ,849.6万, 4室2厅4卫 ,297平米, 28606元/平米 ,南, 底层 ,精装修,https://esf.fang.com/chushou/10_483457996.html
 远大园五区, 海淀 , 世纪城 ,1210万, 2室2厅1卫 ,110平米, 110000元/平米 ,西南,高层,精装修,https://esf.fang.com/chushou/3_483357105.html
 V7北湖壹号别墅, 房山 , 青龙湖 ,858万, 6室3厅5卫 ,297平米, 28889元/平米 ,南, 底层 ,精装修,https://esf.fang.com/chushou/10_483511367.html
 润杰经典, 昌平 , 昌平县城 ,199万, 2室1厅1卫 ,83.19平米, 23921元/平米 ,南北,顶层,精装修,https://esf.fang.com/chushou/3_483526225.html
 中铁国际城, 朝阳 , 北苑 ,350万, 1室1厅1卫 ,46.73平米, 74898元/平米 ,南,高层,精装修,https://esf.fang.com/chushou/3_482060267.html
 恩济里, 海淀 , 定慧寺 ,483万, 3室1厅1卫 ,63.4平米, 76183元/平米 ,西北, 底层 ,简装修,https://esf.fang.com/chushou/3_482797294.html
 龙山御景, 怀柔 , 怀柔城区 ,288万, 2室2厅2卫 ,81.06平米, 35529元/平米 ,南,低层,简装修,https://esf.fang.com/chushou/3_483526032.html
 世纪城观山园, 海淀 , 世纪城 ,2800万, 4室2厅2卫 ,210平米, 133333元/平米 ,南北,高层,精装修,https://esf.fang.com/chushou/3_483525924.html
 幸福东园, 怀柔 , 雁栖 ,105万, 2室1厅1卫 ,66.24平米, 15851元/平米 ,南北,顶层,精装修,https://esf.fang.com/chushou/3_483525821.html
 富力首开·金禧璞瑅, 顺义 , 顺义其它 ,755万, 4室2厅2卫 ,487平米, 15503元/平米 ,南北, 底层 ,豪华装修,https://esf.fang.com/chushou/3_483510909.html
 金桥国际公寓, 东城 , 广渠门内 ,480万, 1室1厅1卫 ,62.78平米, 76457元/平米 ,南,中层,精装修,https://esf.fang.com/chushou/3_483525684.html
 广渠门内大街, 东城 , 广渠门内 ,756万, 3室1厅1卫 ,80.09平米, 94394元/平米 ,南北,中层,简装修,https://esf.fang.com/chushou/3_483525419.html
 幸福家园, 东城 , 广渠门内 ,820万, 1室1厅1卫 ,72.88平米, 112514元/平米 ,南,高层,精装修,https://esf.fang.com/chushou/3_483525225.html
 锦秋知春, 海淀 , 知春路 ,1400万, 2室2厅2卫 ,136.62平米, 102474元/平米 ,东南,高层,简装修,https://esf.fang.com/chushou/3_483152582.html
 锦秋知春, 海淀 , 知春路 ,1400万, 2室2厅2卫 ,136.62平米, 102474元/平米 ,东南,高层,简装修,https://esf.fang.com/chushou/3_482610901.html
 世豪花园, 朝阳 , 十八里店 ,270万, 2室1厅1卫 ,71.8平米, 37604元/平米 ,南北, 底层 ,精装修,https://esf.fang.com/chushou/3_483524816.html
 天尊苑别墅, 大兴 , 亦庄 ,600万, 5室2厅3卫 ,300平米, 20000元/平米 ,东, 底层 ,精装修,https://esf.fang.com/chushou/10_483524766.html
 翠屏北里, 通州 , 果园 ,299万, 2室2厅1卫 ,94.77平米, 31550元/平米 ,南北,高层,精装修,https://esf.fang.com/chushou/3_483524726.html
 西山峻景, 石景山 , 石景山其它 ,280万, 2室1厅1卫 ,81.17平米, 34496元/平米 ,南北,中层,中装修,https://esf.fang.com/chushou/3_483524381.html
 东大桥路, 朝阳 , 建国门 ,320万, 2室1厅1卫 ,50平米, 64000元/平米 ,南北,顶层,简装修,https://esf.fang.com/chushou/3_483524315.html
 华海苑, 朝阳 , 十八里店 ,410万, 5室2厅2卫 ,210平米, 19524元/平米 ,东,顶层,精装修,https://esf.fang.com/chushou/10_483524312.html
 北京玫瑰园, 昌平 , 沙河 ,1350万, 5室2厅4卫 ,278.15平米, 48535元/平米 ,南, 底层 ,精装修,https://esf.fang.com/chushou/10_483523966.html
 北京建工·揽星樾, 房山 , 房山城关 ,123万, 2室2厅1卫 ,74平米, 16622元/平米 ,南北, 底层 ,简装修,https://esf.fang.com/chushou/3_483523878.html
 北京玫瑰园, 昌平 , 沙河 ,1500万, 5室2厅4卫 ,266.7平米, 56243元/平米 ,东, 底层 ,精装修,https://esf.fang.com/chushou/10_483523611.html
 北辰红橡墅, 昌平 , 北七家 ,1388万, 7室3厅5卫 ,369.97平米, 37517元/平米 ,南, 底层 ,豪华装修,https://esf.fang.com/chushou/10_480948371.html
 北辰红橡墅, 昌平 , 北七家 ,1388万, 7室3厅5卫 ,369.97平米, 37517元/平米 ,南, 底层 ,豪华装修,https://esf.fang.com/chushou/10_480854491.html
 北京玫瑰园, 昌平 , 沙河 ,1350万, 5室3厅4卫 ,268.1平米, 50354元/平米 ,南, 底层 ,毛坯,https://esf.fang.com/chushou/10_483523579.html
 加州水郡西区, 房山 , 长阳 ,329万, 3室1厅2卫 ,115.79平米, 28414元/平米 ,南北,中层,精装修,https://esf.fang.com/chushou/3_483523635.html
 原香小镇二区, 房山 , 长阳 ,255万, 2室1厅1卫 ,85.71平米, 29751元/平米 ,南北,高层,精装修,https://esf.fang.com/chushou/3_483523524.html
 建邦华庭, 房山 , 长阳 ,345万, 2室1厅1卫 ,97.74平米, 35298元/平米 ,南北,低层,精装修,https://esf.fang.com/chushou/3_483523520.html
 建发·观云, 顺义 , 后沙峪 ,718万, 4室2厅3卫 ,133平米, 53985元/平米 ,南北,低层,豪华装修,https://esf.fang.com/chushou/3_483523429.html
 建发·观云, 顺义 , 后沙峪 ,1015万, 4室2厅3卫 ,189平米, 53704元/平米 ,南北,低层,精装修,https://esf.fang.com/chushou/3_483523420.html
 建发·观云, 顺义 , 后沙峪 ,708万, 4室2厅2卫 ,133平米, 53233元/平米 ,南北,低层,精装修,https://esf.fang.com/chushou/3_483523397.html
 建发·观云, 顺义 , 后沙峪 ,708万, 4室2厅2卫 ,133平米, 53233元/平米 ,南北,高层,精装修,https://esf.fang.com/chushou/3_483523396.html
 恒大·滨河左岸, 房山 , 良乡 ,171.9万, 2室1厅1卫 ,84.97平米, 20231元/平米 ,东,高层,精装修,https://esf.fang.com/chushou/3_483523280.html
 天通中苑, 昌平 , 天通苑 ,365万, 2室1厅1卫 ,91.42平米, 39926元/平米 ,东西,低层,精装修,https://esf.fang.com/chushou/3_483523061.html
 安慧北里逸园, 朝阳 , 亚运村 ,828万, 3室2厅2卫 ,126.99平米, 65202元/平米 ,西南,低层,精装修,https://esf.fang.com/chushou/3_483522936.html
 拂林园, 朝阳 , 北苑 ,869万, 3室2厅2卫 ,143.87平米, 60402元/平米 ,南北,低层,豪华装修,https://esf.fang.com/chushou/3_483002942.html
 未来金茂府, 昌平 , 北七家 ,745万, 5室2厅4卫 ,360平米, 20694元/平米 ,南北,高层,简装修,https://esf.fang.com/chushou/3_483522358.html
 誉天下, 顺义 , 中央别墅区 ,466万, 3室2厅2卫 ,120平米, 38833元/平米 ,东, 底层 ,精装修,https://esf.fang.com/chushou/10_483522293.html
 璟上兰园, 顺义 , 后沙峪 ,482万, 4室2厅2卫 ,111平米, 43423元/平米 ,南北,中层,精装修,https://esf.fang.com/chushou/3_483522206.html
 璟上兰园, 顺义 , 后沙峪 ,550万, 4室2厅2卫 ,131平米, 41985元/平米 ,南北,高层,精装修,https://esf.fang.com/chushou/3_483522196.html
 中建璞园, 朝阳 , 中央别墅区 ,1280万, 4室2厅3卫 ,210平米, 60952元/平米 ,南北, 底层 ,豪华装修,https://esf.fang.com/chushou/3_483522109.html
 中建璞园, 朝阳 , 中央别墅区 ,470万, 2室1厅1卫 ,74平米, 63514元/平米 ,南北,中层,豪华装修,https://esf.fang.com/chushou/3_483522092.html
 中建璞园, 朝阳 , 中央别墅区 ,1170万, 4室2厅2卫 ,210平米, 55714元/平米 ,南北,中层,精装修,https://esf.fang.com/chushou/3_483522070.html
 富力首开·金禧璞瑅, 顺义 , 顺义其它 ,770万, 5室2厅4卫 ,448平米, 17188元/平米 ,南北,高层,简装修,https://esf.fang.com/chushou/3_483521916.html
 司达小区, 丰台 , 大红门 ,230万, 2室1厅1卫 ,60.33平米, 38124元/平米 ,南北,中层,简装修,https://esf.fang.com/chushou/3_481909381.html
 燕莎后, 朝阳 , 酒仙桥 ,495万, 1室2厅1卫 ,71.82平米, 68922元/平米 ,南,顶层,精装修,https://esf.fang.com/chushou/3_483521873.html
 电子城小区, 朝阳 , 酒仙桥 ,485万, 2室1厅1卫 ,102.12平米, 47493元/平米 ,南,低层,精装修,https://esf.fang.com/chushou/3_483521866.html
 璞瑅润府, 顺义 , 顺义城 ,940万, 4室2厅3卫 ,260平米, 36154元/平米 ,南北,低层,精装修,https://esf.fang.com/chushou/3_483521765.html
 御汤山, 昌平 , 小汤山 ,1680万, 5室2厅4卫 ,300.56平米, 55896元/平米 ,南, 底层 ,毛坯,https://esf.fang.com/chushou/10_483521744.html
 富力首开·金禧璞瑅, 顺义 , 顺义其它 ,770万, 4室2厅2卫 ,423平米, 18203元/平米 ,南北, 底层 ,毛坯,https://esf.fang.com/chushou/3_483521695.html
 誉天下, 顺义 , 中央别墅区 ,450万, 3室2厅2卫 ,127平米, 35433元/平米 ,南, 底层 ,精装修,https://esf.fang.com/chushou/10_483521688.html
 璞瑅润府, 顺义 , 顺义城 ,630万, 4室1厅3卫 ,166.05平米, 37940元/平米 ,南北,中层,精装修,https://esf.fang.com/chushou/3_483521666.html
 璞瑅润府, 顺义 , 顺义城 ,500万, 4室2厅2卫 ,136平米, 36765元/平米 ,南,高层,精装修,https://esf.fang.com/chushou/3_483521659.html
 御汤山, 昌平 , 小汤山 ,3300万, 5室3厅6卫 ,620平米, 53226元/平米 ,南, 底层 ,豪华装修,https://esf.fang.com/chushou/10_483521656.html
 御汤山, 昌平 , 小汤山 ,1730万, 5室3厅5卫 ,468平米, 36966元/平米 ,南, 底层 ,简装修,https://esf.fang.com/chushou/10_483521648.html
 格拉斯小镇, 通州 , 宋庄 ,1238万, 4室2厅4卫 ,230平米, 53826元/平米 ,南, 底层 ,毛坯,https://esf.fang.com/chushou/10_483521632.html
 璞瑅润府, 顺义 , 顺义城 ,370万, 3室2厅2卫 ,105平米, 35238元/平米 ,南北,中层,精装修,https://esf.fang.com/chushou/3_483521590.html
 青云上府, 朝阳 , 中央别墅区 ,950万, 4室2厅3卫 ,282.32平米, 33650元/平米 ,南北, 底层 ,简装修,https://esf.fang.com/chushou/3_483521586.html
 凯德麓语, 昌平 , 昌平其它 ,820万, 4室2厅4卫 ,317平米, 25868元/平米 ,南, 底层 ,精装修,https://esf.fang.com/chushou/10_483521570.html
