小区名称,所在市,具体位置,房屋总价,户型,占地,单价,朝向,楼层,装修,网址
 融创文旅城御辉, 沙坪坝 , 西永 ,169.9万, 4室2厅2卫 ,143.64平米, 11828元/平米 ,东南,顶层,精装修,https://cq.esf.fang.com/chushou/3_204914386.html
 加州城市花园, 渝北 , 加州新牌坊 ,128万, 4室2厅2卫 ,169.12平米, 7569元/平米 ,南,中层,精装修,https://cq.esf.fang.com/chushou/3_204918076.html
 重庆来福士住宅, 渝中 , 朝天门 ,890万, 4室2厅2卫 ,284.81平米, 31249元/平米 ,南北,中层,豪华装修,https://cq.esf.fang.com/chushou/3_204911448.html
 寰宇天下, 江北 , 江北嘴 ,398万, 3室2厅3卫 ,182.33平米, 21829元/平米 ,东南,低层,精装修,https://cq.esf.fang.com/chushou/3_204904701.html
 鲁能九龙花园东郡, 九龙坡 , 蟠龙 ,122万, 5室2厅2卫 ,110平米, 11091元/平米 ,东南,中层,精装修,https://cq.esf.fang.com/chushou/3_204914717.html
 鹏润鹿山台, 渝北 , 中央公园 ,185万, 4室2厅2卫 ,121.69平米, 15203元/平米 ,南,高层,精装修,https://cq.esf.fang.com/chushou/3_204892312.html
 骏逸新视界, 九龙坡 , 石坪桥 ,75万, 2室2厅2卫 ,92.21平米, 8134元/平米 ,西北,中层,精装修,https://cq.esf.fang.com/chushou/3_204916586.html
 蓝光中央广场, 大渡口 , 步行街 ,68万, 2室2厅1卫 ,63.32平米, 10739元/平米 ,北,低层,精装修,https://cq.esf.fang.com/chushou/3_204907618.html
 中航翡翠城, 渝北 , 空港新城 ,159万, 3室2厅2卫 ,126.07平米, 12612元/平米 ,南,中层,精装修,https://cq.esf.fang.com/chushou/3_204916415.html
 光华观府国际, 江北 , 观音桥 ,127万, 4室2厅2卫 ,117平米, 10855元/平米 ,南,中层,精装修,https://cq.esf.fang.com/chushou/3_204918464.html
 龙湖西宸原著, 沙坪坝 , 大学城 ,176万, 4室2厅2卫 ,137平米, 12847元/平米 ,南北,高层,精装修,https://cq.esf.fang.com/chushou/3_204651658.html
 首创城, 沙坪坝 , 双碑 ,61万, 2室2厅1卫 ,58平米, 10517元/平米 ,南,中层,精装修,https://cq.esf.fang.com/chushou/3_204873522.html
 龙湖拉特芳斯, 沙坪坝 , 西永 ,90万, 3室2厅2卫 ,101.34平米, 8881元/平米 ,南,中层,精装修,https://cq.esf.fang.com/chushou/3_204904337.html
 中粮鸿云, 九龙坡 , 蟠龙 ,105万, 3室2厅2卫 ,97.12平米, 10811元/平米 ,东北,高层,毛坯,https://cq.esf.fang.com/chushou/3_204916549.html
 隆鑫国际, 九龙坡 , 石坪桥 ,97万, 3室2厅1卫 ,91.32平米, 10622元/平米 ,东北,高层,精装修,https://cq.esf.fang.com/chushou/3_204897586.html
 金融街融府, 沙坪坝 , 石井坡 ,165万, 4室2厅2卫 ,149.78平米, 11016元/平米 ,南,低层,简装修,https://cq.esf.fang.com/chushou/3_204792194.html
 华宇林泉雅舍, 沙坪坝 , 杨公桥 ,69万, 2室2厅1卫 ,99.45平米, 6938元/平米 ,南,高层,中装修,https://cq.esf.fang.com/chushou/3_204894149.html
 金阳罗马假日, 南岸 , 回龙湾 ,62万, 2室1厅1卫 ,71平米, 8732元/平米 ,东南,高层,精装修,https://cq.esf.fang.com/chushou/3_204907194.html
 融创嘉德领馆, 渝北 , 中央公园 ,146万, 4室2厅2卫 ,112平米, 13036元/平米 ,西,中层,精装修,https://cq.esf.fang.com/chushou/3_204897729.html
 盛景天下, 渝北 , 空港新城 ,99.8万, 3室2厅2卫 ,97.38平米, 10249元/平米 ,南,低层,豪华装修,https://cq.esf.fang.com/chushou/3_204916366.html
 光华观府国际, 江北 , 观音桥 ,127万, 4室2厅2卫 ,117平米, 10855元/平米 ,南,中层,精装修,https://cq.esf.fang.com/chushou/3_204918464.html
 成都城投·春江蘭庭, 沙坪坝 , 双碑 ,148万, 3室2厅2卫 ,99平米, 14949元/平米 ,东南,中层,精装修,https://cq.esf.fang.com/chushou/3_204708983.html
 春风与湖, 九龙坡 , 陈家坪 ,95万, 3室2厅1卫 ,92.11平米, 10314元/平米 ,东南, 底层 ,精装修,https://cq.esf.fang.com/chushou/3_204915802.html
 万达广场铂邸, 南岸 , 南坪 ,60万, 2室2厅1卫 ,71.42平米, 8401元/平米 ,东北,中层,精装修,https://cq.esf.fang.com/chushou/3_204856198.html
 恒大御景半岛住宅, 渝北 , 人和 ,310万, 4室2厅2卫 ,155.34平米, 19956元/平米 ,东南,中层,精装修,https://cq.esf.fang.com/chushou/3_204914431.html
 融创嘉德领馆, 渝北 , 中央公园 ,110万, 3室2厅1卫 ,85.28平米, 12899元/平米 ,南,高层,精装修,https://cq.esf.fang.com/chushou/3_204897734.html
 首创城, 沙坪坝 , 双碑 ,68万, 2室1厅1卫 ,75.77平米, 8975元/平米 ,南,低层,简装修,https://cq.esf.fang.com/chushou/3_204873499.html
 象屿两江公元, 渝北 , 照母山 ,304万, 3室2厅2卫 ,181.66平米, 16735元/平米 ,南, 底层 ,简装修,https://cq.esf.fang.com/chushou/3_204917082.html
 珠江华轩, 九龙坡 , 渝州路 ,73.8万, 2室2厅2卫 ,88平米, 8386元/平米 ,东北,中层,精装修,https://cq.esf.fang.com/chushou/3_204841954.html
 朝兴龙城国际, 渝北 , 花卉园 ,86.8万, 3室2厅2卫 ,102.25平米, 8489元/平米 ,南北,中层,精装修,https://cq.esf.fang.com/chushou/3_204870728.html
 首创城, 沙坪坝 , 双碑 ,61万, 2室2厅1卫 ,58平米, 10517元/平米 ,南,中层,精装修,https://cq.esf.fang.com/chushou/3_204873522.html
 富州新城兰亭, 沙坪坝 , 高庙村 ,113万, 3室2厅2卫 ,95平米, 11895元/平米 ,南,低层,精装修,https://cq.esf.fang.com/chushou/3_204895377.html
 保利爱尚里尚佳, 九龙坡 , 石坪桥 ,94万, 2室1厅1卫 ,79平米, 11899元/平米 ,东北,高层,精装修,https://cq.esf.fang.com/chushou/3_204916579.html
 华宇名都城, 九龙坡 , 石桥铺 ,106万, 3室2厅2卫 ,118.9平米, 8915元/平米 ,南,低层,精装修,https://cq.esf.fang.com/chushou/3_204916954.html
 汇祥林里3000, 渝北 , 空港新城 ,90万, 3室2厅2卫 ,80平米, 11250元/平米 ,南北,顶层,精装修,https://cq.esf.fang.com/chushou/3_204916370.html
 中昂嘉御湾, 沙坪坝 , 石井坡 ,88万, 3室2厅2卫 ,99平米, 8889元/平米 ,南,低层,毛坯,https://cq.esf.fang.com/chushou/3_204763389.html
 绿城晓风印月, 渝北 , 礼嘉 ,205万, 4室2厅2卫 ,143.24平米, 14312元/平米 ,南,高层,精装修,https://cq.esf.fang.com/chushou/3_204911243.html
 聚金万佳苑, 九龙坡 , 奥体中心 ,88万, 3室2厅2卫 ,110平米, 8000元/平米 ,南北,中层,精装修,https://cq.esf.fang.com/chushou/3_204916911.html
 复地上城, 渝北 , 汽博中心 ,103万, 2室2厅1卫 ,96.37平米, 10688元/平米 ,南,低层,精装修,https://cq.esf.fang.com/chushou/3_204897392.html
 泷悦长安, 沙坪坝 , 西永 ,85万, 3室2厅2卫 ,83平米, 10241元/平米 ,南,中层,毛坯,https://cq.esf.fang.com/chushou/3_204611982.html
 首创嘉陵岸, 沙坪坝 , 双碑 ,120万, 3室2厅2卫 ,102.6平米, 11696元/平米 ,南,中层,精装修,https://cq.esf.fang.com/chushou/3_204869475.html
 隆鑫盛世普天, 九龙坡 , 二郎 ,80万, 3室2厅2卫 ,94.43平米, 8472元/平米 ,东,中层,精装修,https://cq.esf.fang.com/chushou/3_204913654.html
 礼悦江山, 渝北 , 礼嘉 ,97万, 3室2厅2卫 ,89平米, 10899元/平米 ,南北,高层,毛坯,https://cq.esf.fang.com/chushou/3_204912040.html
 首创嘉陵岸, 沙坪坝 , 双碑 ,103万, 3室2厅2卫 ,113.45平米, 9079元/平米 ,南,低层,简装修,https://cq.esf.fang.com/chushou/3_204894064.html
 地博春天, 九龙坡 , 石坪桥 ,76.7万, 3室2厅1卫 ,81平米, 9469元/平米 ,南,中层,精装修,https://cq.esf.fang.com/chushou/3_204916956.html
 春风与湖, 九龙坡 , 陈家坪 ,88.8万, 2室1厅1卫 ,73.85平米, 12024元/平米 ,东,高层,精装修,https://cq.esf.fang.com/chushou/3_204916891.html
 龙脊小时代, 渝北 , 中央公园 ,91万, 3室2厅2卫 ,104.54平米, 8705元/平米 ,南,顶层,毛坯,https://cq.esf.fang.com/chushou/3_204918388.html
 长嘉汇朗峯, 南岸 , 南滨路 ,1350万, 6室2厅5卫 ,465.28平米, 29015元/平米 ,西南,中层,精装修,https://cq.esf.fang.com/chushou/3_204863995.html
 晋愉V时代住宅, 九龙坡 , 二郎 ,102.5万, 3室2厅2卫 ,97.32平米, 10532元/平米 ,东,中层,精装修,https://cq.esf.fang.com/chushou/3_204907328.html
 中航翡翠城, 渝北 , 空港新城 ,159万, 3室2厅2卫 ,126.07平米, 12612元/平米 ,南,中层,精装修,https://cq.esf.fang.com/chushou/3_204916415.html
 广阳ONE博睿庭, 南岸 , 南岸其他 ,81万, 3室2厅2卫 ,92平米, 8804元/平米 ,南,中层,毛坯,https://cq.esf.fang.com/chushou/3_204897988.html
